player_name,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage,player_image_url,player_country,player_club,player_position
Mathis Amougou,France,Right,18/01/2006,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,France,Chelsea,Midfielder
Ato Ampah,England,Right,22/04/2006,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Chelsea,Forward
Sofyan Amrabat,Morocco,Right,21/08/1996,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/172912.png,Morocco,Manchester United,Midfielder
Joseph Anang,England,,08/06/2000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/447879.png,England,West Ham United,Goalkeeper
Joachim Andersen,Denmark,Right,31/05/1996,0,0,0.52,2054,83,444,47,2663,123,28,34,28,1,7,1.02,22,76,0,9,13,23,5,80,20,0,0,0,2,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/174874.png,Denmark,Fulham,Defender
Elliot Anderson,England,Right,06/11/2002,37,4,3.63,1289,82,106,42,2742,242,92,31,9,0,10,2.11,80,57,6,15,35,6,66,55,49,2,0,4,10,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/215379.png,England,Nottingham Forest,Midfielder
Vincent Angelini,Scotland,,12/09/2003,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Scotland,Brentford,Goalkeeper
Tino Anjorin,England,,23/11/2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/223332.png,England,Chelsea,Midfielder
Aarón Anselmino,Argentina,Right,29/04/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Argentina,Chelsea,Defender
Jaidon Anthony,England,Right,01/12/1999,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/444180.png,England,Bournemouth,Forward
Michail Antonio,Jamaica,Right,28/03/1990,14,3,0.93,154,71,22,77,844,35,2,0,0,0,1,2.22,37,17,1,8,25,8,22,41,12,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/57531.png,Jamaica,West Ham United,Forward
Genesis Antwi,Sweden,Right,11/05/2007,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Sweden,Chelsea,Defender
Joelinton,Brazil,Right,14/08/1996,0,0,2.33,1010,84,31,52,2404,166,57,23,7,0,10,3.95,86,59,3,19,16,19,43,35,58,4,0,7,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/180974.png,Brazil,Newcastle United,Midfielder
Julián Araujo,Mexico,Right,13/08/2001,12,5,0.1,191,82,19,32,497,15,10,6,0,0,2,0.0,2,3,0,0,9,22,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/436893.png,Mexico,Bournemouth,Defender
Cameron Archer,England,Right,09/12/2001,35,22,0.73,247,83,6,50,1432,50,13,2,1,0,0,5.72,57,9,0,16,0,0,35,43,16,2,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/433979.png,England,Southampton,Forward
Alphonse Areola,France,Right,27/02/1993,26,1,0.0,865,66,438,37,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,82,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/84182.png,France,West Ham United,Goalkeeper
Joe Aribo,Nigeria,Left,21/07/1996,32,11,1.25,1031,90,31,52,2018,121,47,20,11,0,1,2.7,46,26,0,8,10,20,43,49,20,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/193204.png,Nigeria,Southampton,Midfielder
Adam Armstrong,England,Right,10/02/1997,20,5,0.57,269,84,10,40,1252,28,12,3,1,0,4,3.28,52,5,2,12,14,21,14,43,12,2,1,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/155511.png,England,Southampton,Forward
Harrison Armstrong,England,Right,19/01/2007,3,3,0.0,13,54,4,25,47,3,0,0,0,0,1,0.37,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Everton,Midfielder
Stuart Armstrong,Scotland,Right,30/03/1992,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/91047.png,Scotland,Southampton,Midfielder
Kepa,Spain,Right,03/10/1994,0,0,0.0,901,70,436,40,0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,0,0,0,0,39,8,97,4,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/109745.png,Spain,Bournemouth,Goalkeeper
Benjamin Arthur,England,Right,09/10/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Brentford,Defender
Marco Asensio,Spain,Left,21/01/1996,13,4,1.16,272,86,10,50,745,27,7,2,1,0,2,4.43,30,0,1,8,19,16,17,71,11,3,1,2,5,23,0,1,1,0,0,2,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Spain,Aston Villa,Forward
Harrison Ashby,Scotland,Right,14/11/2001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/441024.png,Scotland,Newcastle United,Defender
Noël Atom,Germany,Left,05/01/2005,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Germany,Brighton and Hove Albion,Defender
Brandon Austin,England,Right,08/01/1999,0,0,0.0,27,67,13,31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/214572.png,England,Tottenham Hotspur,Goalkeeper
Taiwo Awoniyi,Nigeria,Right,12/08/1997,26,23,0.12,94,65,4,25,400,33,6,0,0,0,0,2.12,23,14,0,4,0,0,9,44,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/210156.png,Nigeria,Nottingham Forest,Forward
Yasin Ayari,Sweden,Right,06/10/2003,34,12,2.64,900,85,37,32,1966,119,59,20,6,0,4,2.44,48,16,1,9,22,27,36,50,37,2,1,3,3,37,0,2,2,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/509416.png,Sweden,Brighton and Hove Albion,Midfielder
Jordan Ayew,Ghana,Right,11/09/1991,31,12,0.01,483,80,26,35,1664,151,28,12,2,0,6,0.46,58,40,0,0,32,22,58,45,31,5,0,7,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/80146.png,Ghana,Leicester City,Forward
Leon Ayinde,Ireland,,05/09/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ireland,Ipswich Town,Midfielder
Rayan Aït-Nouri,Algeria,Left,06/06/2001,0,0,4.0,1377,87,65,32,3127,220,89,26,6,1,5,2.69,104,22,7,20,63,22,119,53,30,4,1,6,4,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/448514.png,Algeria,Wolverhampton Wanderers,Defender
Benoît Badiashile,France,Left,26/03/2001,5,2,0.08,303,90,22,59,333,19,9,6,2,0,0,0.0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/242880.png,France,Chelsea,Defender
Elkan Baggott,Indonesia,Left,23/10/2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Indonesia,Ipswich Town,Defender
Leon Bailey,Jamaica,Left,09/08/1997,24,10,2.95,352,78,21,67,1143,53,7,3,0,0,3,1.73,74,6,2,13,25,8,46,48,12,1,3,3,0,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/215711.png,Jamaica,Aston Villa,Midfielder
Stefan Bajcetic,Spain,Right,22/10/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/535928.png,Spain,Liverpool,Midfielder
Benicio Baker-Boaitey,England,,09/01/2004,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/475480.png,England,Brighton and Hove Albion,Forward
Ellery Balcombe,England,Right,15/10/1999,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/235448.png,England,Brentford,Goalkeeper
Carlos Baleba,Cameroon,Left,03/01/2004,34,3,1.21,1300,88,112,58,2670,199,79,46,11,1,6,3.08,14,39,1,4,9,33,53,62,40,3,1,0,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/535301.png,Cameroon,Brighton and Hove Albion,Midfielder
